"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C2,C12,C13,C17,C18,C24","56u","","~","6","","",""
"C3,C7,C22","4.7u","","~","3","","",""
"C4,C14,C16,C19,C20,C25,C27","100n","","~","7","","",""
"C6","47u","","~","1","","",""
"C15,C26","470n","","~","2","","",""
"C23","1u","","~","1","","",""
"D1,D2,D3","GREEN","","~","3","","",""
"D4,D5,D6,D7,D8,D9","D","","~","6","","",""
"H1,H2,H3,H4","MountingHole_Pad","","~","4","","Excluded from BOM",""
"J1","GND_TEST_01x01_Pin","","~","1","","",""
"J2","SP_01x02_Pin","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","1","","",""
"J3","BATT_TEST_01x01_Pin","","~","1","","",""
"J4","3.3V_PULLUP_01x02_Pin","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","1","","",""
"J5","BATT_01x02_Pin","","~","1","","",""
"J6,J7,J8,J13,J14,J15","Conn-1x2","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","6","","",""
"J9","SYS_TEST_01x01_Pin","","~","1","","",""
"J17","SCL_MAS_01x01_Pin","","~","1","","",""
"J18","SDA_MAS_01x01_Pin","","~","1","","",""
"J19","SYS-1x2","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","1","","",""
"L1","IHLP6767GZER100M01","bmsfootprints:IND_IHLP6767GZER100M01","","1","","",""
"Q1,Q2,Q3,Q4,Q9,Q10,Q11,Q12","SI2318DS-T1-E3","bmsfootprints:SOT95P237X102-3N","","8","","",""
"Q5,Q6,Q7,Q8","AONS66614","bmsfootprints:AON6482","https://4donline.ihs.com/images/VipMasterIC/IC/ALOM/ALOM-S-A0020443660/ALOM-S-A0020443776-1.pdf?hkey=EF798316E3902B6ED9A73243A3159BB0","4","","",""
"R4,R11,R12,R14,R30","10","","~","5","","",""
"R16,R17,R18,R19,R20,R21,R22,R26","10k","","~","8","","",""
"R24","30.1k","","~","1","","",""
"R25","5.23k","","~","1","","",""
"RR_BATT_SNS?,R_AC_SNS?","5m","","~","2","","",""
"RT1","103AT-2","bmsfootprints:103AT-2","","1","","",""
"R_AC1","1M","","~","1","","",""
"R_AC2","11.83k","","~","1","","",""
"R_AC3","53.25","","~","1","","",""
"R_FB?","249k","","~","1","","",""
"R_FBG?,R_ICHG?","16.67k","","~","2","","",""
"R_FSW_SYNC?","40k","","~","1","","",""
"R_ILIM_HIZ?","25k","","~","1","","",""
"SW1","100SP1T1B1M1QEH","bmsfootprints:SW_100SP1T1B1M1QEH","","1","","",""
"U1","BQ25756RRVR","VQFN36_RRV_TEX","BQ25756RRVR","1","","",""
