Designator,Footprint,Quantity,Value,LCSC Part #
Bat_Input1,PinHeader_1x02_P2.54mm_Vertical,1,61300211121,
"C-BTST1, C-BTST2, C1, C2, C8, C9",0402,6,CL05B104KA5NNNC,
"C-DRV_SUP1, C-REGN1",0805,2,CL21A475KAQNNNE,
"C-IN1, C-IN2, C-IN3, C-IN4, C-OUT1, C-OUT2",1210,6,TMK325ABJ476MM-P,
"C3, C7",0402,2,CL05A474KA5NNNC,
C4,0805,1,CL21B105KAFNNNE,
C_Sys1,CP_Radial_D6.3mm_P2.50mm,1,860020473008,
D1,0603,1,KO EELP41.22-Q1S2-25-A8J8-020-R18,
D2,0603,1,KB EELP41.12-P1R2-36-3X4X-5-R18,
D3,0603,1,SMLD12EN1WT86,
J1,PinSocket_1x03_P2.54mm_Vertical,1,61300311121,
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L1,INDPM172172X700N,1,IHLP6767GZER100M01,
"Q1, Q2, Q3, Q4",AON6482,4,AONS66614,
R-AC1,1210,1,ESR25JZPJ105,
R-AC2,1210,1,ESR25JZPJ204,
R-AC3,1210,1,ESR25JZPJ753,
"R-AC_SNS1, R_BAT_SNS1",1206,2,MCS1632R005FER,
"R-CE1, R-LOW1, R-Pull_Down1",1210,3,ESR25JZPJ104,
"R-DRV_REGN1, R7, R8",2010,3,RMCP2010FT100R,
R-FB_Bot1,0805,1,CPF0805B25KE1,
R-FB_Top1,0805,1,RNCF0805BTE250K,
R-FSW1,0805,1,CRCW080540K0FKEA,
R-I_Out1,0603,1,ERA-3AEB302V,
R-T1,0402,1,ERJ-2RKF5231X,
R-T2,0603,1,ERA-3AEB303V,
"R1, R2, R3",1206,3,HRG3216P-1002-B-T1,
"R4, R5",1210,2,ESR25JZPJ100,
R6,1210,1,ESR25JZPJ2R4,
Solar_Panel_Input1,PinSocket_1x02_P2.54mm_Vertical,1,61300211121,
Thermistor1,103AT2,1,103AT-2,
U1,VQFN36_RRV_TEX,1,BQ25756RRVR,
