Designator,Mid X,Mid Y,Rotation,Layer
Bat_Input1,122.735,-73.0,90.0,top
C-BTST1,183.9325,-96.0,180.0,top
C-BTST2,128.5,-105.0,0.0,top
C-DRV_SUP1,169.0,-98.9625,270.0,top
C-IN1,194.5625,-125.0,0.0,top
C-IN2,188.0625,-118.0,0.0,top
C-IN3,188.0625,-111.5,0.0,top
C-IN4,170.0625,-149.0,180.0,top
C-OUT1,108.9375,-88.0,0.0,top
C-OUT2,107.5,-121.0625,270.0,top
C-REGN1,181.5,-99.0375,270.0,top
C1,188.2975,-92.75,0.0,top
C2,193.6825,-92.75,0.0,top
C3,191.7975,-88.5,0.0,top
C4,195.4625,-84.0,180.0,top
C7,135.0,-91.5675,270.0,top
C8,133.0,-88.5675,270.0,top
C9,133.0,-94.5,270.0,top
C_Sys1,108.682379,-98.5,0.0,top
D1,141.0513,-59.0,180.0,top
D2,140.9263,-62.5,180.0,top
D3,141.1763,-65.5,180.0,top
J1,151.975,-93.975,270.0,top
J2,108.75,-109.525,90.0,top
L1,135.6,-144.0,180.0,top
Q1,113.0,-137.755,180.0,top
Q2,109.0,-148.905,90.0,top
Q3,154.99,-137.0,90.0,top
Q4,155.0,-148.905,270.0,top
R-AC1,186.5,-78.95,270.0,top
R-AC2,186.5,-70.45,270.0,top
R-AC3,186.5,-63.05,270.0,top
R-AC_SNS1,178.55,-111.5,0.0,top
R-CE1,149.95,-71.5,0.0,top
R-DRV_REGN1,175.55,-99.0,0.0,top
R-FB_Bot1,130.5,-81.5,0.0,top
R-FB_Top1,121.0,-81.5,180.0,top
R-FSW1,167.0,-63.0,90.0,top
R-I_Out1,149.5875,-77.0,0.0,top
R-LOW1,169.7,-90.0,0.0,top
R-Pull_Down1,149.45,-81.5,0.0,top
R-T1,140.5,-69.0975,270.0,top
R-T2,140.5,-73.4125,270.0,top
R1,150.45,-59.0,0.0,top
R2,150.45,-62.29,0.0,top
R3,150.3987,-65.5,0.0,top
R4,187.5,-98.95,270.0,top
R5,196.0,-98.95,270.0,top
R6,187.95,-125.0,0.0,top
R7,126.4,-89.5,0.0,top
R8,126.4,-94.5,0.0,top
R_BAT_SNS1,120.0,-91.45,270.0,top
Solar_Panel_Input1,191.0,-136.5,0.0,top
Thermistor1,132.73,-73.0,90.0,top
U1,159.0,-99.5,0.0,top
